ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Funicular,CirculatingRopewayGondola,Chairlift,T-barPlatterButton,SunkidMovingCarpet,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,SnowReliability,SlopePreparation,AccessParking,Orientation,Cleanliness,EnvironmentallyFriendly,StaffFriendliness,Restaurants,ApresSki,AccomodationsToLifts,FamiliesChildren,Beginners,Advanced,SnowParks,Cross-countryTrails,AerialTramwayReverseRopeway,RopeTowBeginnerLift,PeopleMover,CombinedGondolaChair,CogRailway,Helicopter,SnowCaterpillars,Latitude,Longitude
2,49-degrees-north-mountain-resort,North America,USA,Washington State,http://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,1760,20,27,21,,,0,,,58,0,48,US Dollar,3.5,3.9,3,,,,,,,,,,,,,,,,,0,,,,,,48.3010972,-117.5629161
14,abenaki,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/abenaki/,250,0.5,0.3,0.2,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,43.611548,-71.229107
15,aberdeen-heli-prince-george,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/aberdeen-heli-prince-george/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0,,53.8826639,-122.676198
24,adamants,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/adamants/,3100,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0,,51.6321169,-118.1691384
25,adanac-ski-hill,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/adanac-ski-hill/,340,1.3,0.6,0.1,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,0,,,,,46.5105613,-80.9604325
34,afton-alps,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/afton-alps/,387,3,3,2,,,0,,,58,0,53,US Dollar,1.9,2.3,3,,,,,,,,,,,,,,,,,0,0,,,,,44.8576608,-92.7878062
65,al-quaal,North America,USA,Michigan,http://www.skiresort.info/ski-resort/al-quaal/,451,0.2,0.2,0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,46.5128663,-87.6603544
73,aldis-hill-park-st-albans,North America,USA,Vermont,http://www.skiresort.info/ski-resort/aldis-hill-park-st-albans/,150,0.2,0.2,0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,44.8194721,-73.0697422
80,alice-hill-park-pembroke,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/alice-hill-park-pembroke/,210,1,0.5,0,,,,0,,22,0,18,Canadian Dollar,1.3,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,,43.2285102,-79.8660836
99,alpenglow-at-arctic-valley,North America,USA,Alaska,http://www.skiresort.info/ski-resort/alpenglow-at-arctic-valley/,1188,5,10,10,,,,,,35,30,20,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,61.2467223,-149.53491
