ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,Latitude,Longitude
2131,kettlebowl,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/kettlebowl/,542,0.3,1.1,0,5,3,2,US Dollar,1.3,1.3,1,45.2717983,-88.901379
2599,living-memorial-park-brattleboro,North America,USA,Vermont,http://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,189,0.5,0,0,5,0,0,US Dollar,1.1,1,1.5,42.8479991,-72.5864768
3708,powderhouse-hill-south-berwick,North America,USA,Maine,http://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,80,0.5,0,0,5,0,0,US Dollar,1.1,1,1,43.2366733,-70.8023666
3040,mount-prospect-lancaster,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mount-prospect-lancaster/,520,0.5,0.3,0,7,0,5,US Dollar,1.2,1.2,1,44.453088,-71.55851
1900,innisfail,North America,Canada,Alberta,http://www.skiresort.info/ski-resort/innisfail/,955,0.4,0.4,0,8,0,0,Canadian Dollar,1.2,1.2,1,52.0274064,-113.9470957
3783,quoggy-jo-ski-center-presque-isle,North America,USA,Maine,http://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,275,0.8,0,0,8,0,0,US Dollar,1.2,1,1.5,46.7222168,-67.9292902
3709,powers-bluff,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/powers-bluff/,436,1,0,0,8,0,0,US Dollar,1.3,1,1,44.5298318,-90.0712357
2151,kinsmen-little-red-river-park-prince-albert,North America,Canada,Saskatchewan,http://www.skiresort.info/ski-resort/kinsmen-little-red-river-park-prince-albert/,438,0.3,0,0,10,0,0,Canadian Dollar,1.1,1,1,53.2219265,-105.7129915
5281,winter-park-kewaunee-county,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/winter-park-kewaunee-county/,225,0.5,0.5,0.1,10,0,0,US Dollar,1.3,1.5,1.5,44.459461,-87.559558
811,chester-bowl-park,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/chester-bowl-park/,380,0.6,0,0,10,0,0,US Dollar,1.2,1,3,46.8135101,-92.0907824
